source_speaker,target_speaker,text_id,loss,ref_file,ref_content,gen_file,gen_content,score
p226,p225,0,all,../project_data/temp/p226/11.wav, to the scottish parliament's approval she's got to,../project_data/converted/p225/converted_a_all_in_one_0.wav, to the scottish parliament's approval she's got to,87.5
p226,p225,0,asr,../project_data/temp/p226/11.wav, to the scottish parliament's approval she's got to,../project_data/converted/p225/converted_a_asr_0.wav, i'm sorry,0.0
p226,p225,0,asr_cyc,../project_data/temp/p226/11.wav, to the scottish parliament's approval she's got to,../project_data/converted/p225/converted_a_asr_cyc_0.wav, to the scottish parliament's approval she's got to,87.5
p226,p225,0,norm,../project_data/temp/p226/11.wav, to the scottish parliament's approval she's got to,../project_data/converted/p225/converted_a_norm_0.wav, to the scottish parliament's approval she's got to,87.5
p226,p225,0,norm_cyc,../project_data/temp/p226/11.wav, to the scottish parliament's approval she's got to,../project_data/converted/p225/converted_a_norm_cyc_0.wav, to the scottish parliament's approval she's got to,87.5
p226,p225,0,adv,../project_data/temp/p226/11.wav, to the scottish parliament's approval she's got to,../project_data/converted/p225/converted_a_adv_0.wav, to the scottish parliament's approval she's got to,87.5
p225,p226,0,all,../project_data/source/p225/43.wav, the difference in the rainbow depends considerably,../project_data/converted/p226/converted_b_all_in_one_0.wav, the difference in the rainbow depends considerably,85.71429
p225,p226,0,asr,../project_data/source/p225/43.wav, the difference in the rainbow depends considerably,../project_data/converted/p226/converted_b_asr_0.wav, i'm a bit of an australian,0.0
p225,p226,0,asr_cyc,../project_data/source/p225/43.wav, the difference in the rainbow depends considerably,../project_data/converted/p226/converted_b_asr_cyc_0.wav, the difference in the rainbow depends considerably,85.71429
p225,p226,0,norm,../project_data/source/p225/43.wav, the difference in the rainbow depends considerably,../project_data/converted/p226/converted_b_norm_0.wav, the difference in the rain by the pencil and studio bit,27.27273
p225,p226,0,norm_cyc,../project_data/source/p225/43.wav, the difference in the rainbow depends considerably,../project_data/converted/p226/converted_b_norm_cyc_0.wav, the difference in the rainbow depends considerably,85.71429
p225,p226,0,adv,../project_data/source/p225/43.wav, the difference in the rainbow depends considerably,../project_data/converted/p226/converted_b_adv_0.wav, the difference in the rainbow depends considerably,85.71429
p226,p225,1,all,../project_data/temp/p226/109.wav, the us president condemned the attacks,../project_data/converted/p225/converted_a_all_in_one_1.wav, the us president condemned the attacks,83.33333
p226,p225,1,asr,../project_data/temp/p226/109.wav, the us president condemned the attacks,../project_data/converted/p225/converted_a_asr_1.wav, thank you,0.0
p226,p225,1,asr_cyc,../project_data/temp/p226/109.wav, the us president condemned the attacks,../project_data/converted/p225/converted_a_asr_cyc_1.wav, the us president condemned the attacks,83.33333
p226,p225,1,norm,../project_data/temp/p226/109.wav, the us president condemned the attacks,../project_data/converted/p225/converted_a_norm_1.wav, to give us president the time of your time,33.33333
p226,p225,1,norm_cyc,../project_data/temp/p226/109.wav, the us president condemned the attacks,../project_data/converted/p225/converted_a_norm_cyc_1.wav, the us president condemned the attacks,83.33333
p226,p225,1,adv,../project_data/temp/p226/109.wav, the us president condemned the attacks,../project_data/converted/p225/converted_a_adv_1.wav, the us president condemned the attacks,83.33333
p225,p226,1,all,../project_data/source/p225/95.wav, point of no return i have learned from him it,../project_data/converted/p226/converted_b_all_in_one_1.wav, point of no return i have learned from him it,100.0
p225,p226,1,asr,../project_data/source/p225/95.wav, point of no return i have learned from him it,../project_data/converted/p226/converted_b_asr_1.wav, good luck,0.0
p225,p226,1,asr_cyc,../project_data/source/p225/95.wav, point of no return i have learned from him it,../project_data/converted/p226/converted_b_asr_cyc_1.wav, point of no return i have learned from him it is not a matter of,66.66667
p225,p226,1,norm,../project_data/source/p225/95.wav, point of no return i have learned from him it,../project_data/converted/p226/converted_b_norm_1.wav, point of their return i have learned from them,70.0
p225,p226,1,norm_cyc,../project_data/source/p225/95.wav, point of no return i have learned from him it,../project_data/converted/p226/converted_b_norm_cyc_1.wav, point of no return i have learned from him it,100.0
