source_speaker,target_speaker,ref_file,ref_content,gen_file,gen_content,score
p225,p226,../baseline_data/source/p225-val/1.wav, it is a common problem six spoons of fresh snow peas five thick slabs of blue cheese,../baseline_data/converted/p225/1.wav, it is a common problem 6 spoons of fresh slow peas 5 thick slabs of blue cheese,88.23529
p225,p226,../baseline_data/source/p225-val/10.wav, in existence for alan the action reflects a slump in bookings,../baseline_data/converted/p225/10.wav, in existence alan the action reflects a slump in bookings,81.81818
p225,p226,../baseline_data/source/p225-val/11.wav, he will go a long way irvine said his company was intent on supporting the scottish dairy industry,../baseline_data/converted/p225/11.wav, he will go a long way irvine said his company was intent on supporting the scottish dairy industry,100.0
p225,p226,../baseline_data/source/p225-val/12.wav, overall it was a promising day for the scots the occasion was the new labour conference in brighton last year,../baseline_data/converted/p225/12.wav, overall it was a promising day for the scots the occasion was the new labour conference in brighton last year,85.0
p225,p226,../baseline_data/source/p225-val/13.wav, it was a close call everything happened so quickly that we were taken by surprise everyone deserves to share in this success,../baseline_data/converted/p225/13.wav, it was a close call everything happened so quickly that we were taken by surprise everyone deserves to share in this success,100.0
p225,p226,../baseline_data/source/p225-val/14.wav, i realised i was lucky to have it so is that it then? we are a peaceful people,../baseline_data/converted/p225/14.wav, i realised i was lucky to have it so is that it then? we are a peaceful people,88.88889
p225,p226,../baseline_data/source/p225-val/15.wav, many complicated ideas about the rainbow have been formed but they have the sound,../baseline_data/converted/p225/15.wav, many complicated ideas about the rainbow have been formed but they have the sound,85.71429
p225,p226,../baseline_data/source/p225-val/16.wav, he is a success story by any standard treatment is not an issue with these people already,../baseline_data/converted/p225/16.wav, he is a success story by any standard treatment is not an issue with these people already,94.11765
p225,p226,../baseline_data/source/p225-val/17.wav, he has been a tremendous influence in the dressing room western countries condemn the conduct of the pole,../baseline_data/converted/p225/17.wav, he has been a tremendous influence in the dressing room western countries condemn the conduct of the pole,88.88889
p225,p226,../baseline_data/source/p225-val/18.wav, he is delighted and he has every right to be no other vehicle was involved in the crash,../baseline_data/converted/p225/18.wav, he is delighted and he has every right to be no other vehicle was involved in the crash,94.44444
p226,p225,../baseline_data/source/p226-val/1.wav, kids are terrible alain baxter did not have long to speak on friday it depends on the internal discussions in the ministry of defence,../baseline_data/converted/p226/1.wav, kids are terrible alain baxter did not have long to speak on friday it depends on the internal discussions in the ministry of,87.5
p226,p225,../baseline_data/source/p226-val/10.wav, please call stella the weather affected the other two games in fife any change would be subject,../baseline_data/converted/p226/10.wav, please call stella the weather affected the other two games in fife any change would be subject to,88.88889
p226,p225,../baseline_data/source/p226-val/100.wav, role of golf in attracting visitors the charity also has a project in moscow in russia,../baseline_data/converted/p226/100.wav, role of golf in attracting visitors the charity also has a project in moscow in russia,87.5
p226,p225,../baseline_data/source/p226-val/101.wav, he added that public transport improvements must also be maintained it's an issue that will have to be tackled,../baseline_data/converted/p226/101.wav, he added that public transport improvements must also be maintained it's an issue that will have to be tackled,89.47368
p226,p225,../baseline_data/source/p226-val/102.wav, it's a portrait of glasgow not the portrait it's only fair it's not pretty but it is effective,../baseline_data/converted/p226/102.wav, it's a portrait of glasgow not the portrait it's only fair it's not pretty but it is effective,77.77778
